 

stn;time;rre150h0;qrre150h0
BIA;2024010100;0.0;4
BIA;2024010101;0.0;4
BIA;2024010102;0.0;4
BIA;2024010103;0.0;4
BIA;2024010104;0.0;4
BIA;2024010105;0.0;4
BIA;2024010106;0.0;4
BIA;2024010107;0.0;4
BIA;2024010108;0.0;4
BIA;2024010109;0.0;4
BIA;2024010110;0.0;4
BIA;2024010111;0.0;4
BIA;2024010112;0.0;4
BIA;2024010113;0.0;4
BIA;2024010114;0.0;4
BIA;2024010115;0.0;4
BIA;2024010116;0.0;4
BIA;2024010117;0.0;4
BIA;2024010118;0.0;4
BIA;2024010119;0.0;4
BIA;2024010120;0.0;4
BIA;2024010121;0.0;4
BIA;2024010122;0.0;4
BIA;2024010123;0.0;4
BIA;2024010200;0.0;4
BIA;2024010201;0.0;4
BIA;2024010202;0.0;4
BIA;2024010203;0.0;4
BIA;2024010204;0.0;4
BIA;2024010205;0.0;4
BIA;2024010206;0.0;4
BIA;2024010207;0.0;4
BIA;2024010208;0.0;4
BIA;2024010209;0.0;4
BIA;2024010210;0.0;4
BIA;2024010211;0.0;4
BIA;2024010212;0.0;4
BIA;2024010213;0.0;4
BIA;2024010214;0.0;4
BIA;2024010215;0.0;4
BIA;2024010216;0.0;4
BIA;2024010217;0.0;4
BIA;2024010218;0.0;4
BIA;2024010219;0.0;4
BIA;2024010220;0.0;4
BIA;2024010221;0.0;4
BIA;2024010222;0.0;4
BIA;2024010223;0.0;4
BIA;2024010300;0.0;4
BIA;2024010301;0.0;4
BIA;2024010302;0.0;4
BIA;2024010303;0.0;4
BIA;2024010304;0.0;4
BIA;2024010305;0.0;4
BIA;2024010306;0.0;4
BIA;2024010307;0.0;4
BIA;2024010308;0.0;4
BIA;2024010309;0.0;4
BIA;2024010310;0.0;4
BIA;2024010311;0.0;4
BIA;2024010312;0.0;4
BIA;2024010313;0.0;4
BIA;2024010314;0.0;4
BIA;2024010315;0.0;4
BIA;2024010316;0.0;4
BIA;2024010317;0.0;4
BIA;2024010318;0.0;4
BIA;2024010319;0.0;4
BIA;2024010320;0.0;4
BIA;2024010321;0.0;4
BIA;2024010322;0.0;4
BIA;2024010323;0.0;4
BIA;2024010400;0.5;4
BIA;2024010401;0.3;4
BIA;2024010402;0.0;4
BIA;2024010403;0.0;4
BIA;2024010404;0.0;4
BIA;2024010405;0.0;4
BIA;2024010406;0.0;4
BIA;2024010407;0.0;4
BIA;2024010408;0.0;4
BIA;2024010409;0.0;4
BIA;2024010410;0.0;4
BIA;2024010411;0.0;4
BIA;2024010412;0.0;4
BIA;2024010413;0.0;4
BIA;2024010414;0.0;4
BIA;2024010415;0.0;4
BIA;2024010416;0.0;4
BIA;2024010417;0.0;4
BIA;2024010418;0.0;4
BIA;2024010419;0.0;4
BIA;2024010420;0.0;4
BIA;2024010421;0.0;4
BIA;2024010422;0.0;4
BIA;2024010423;0.0;4
BIA;2024010500;0.0;4
BIA;2024010501;0.0;4
BIA;2024010502;0.0;4
BIA;2024010503;0.0;4
BIA;2024010504;0.0;4
BIA;2024010505;0.0;4
BIA;2024010506;0.0;4
BIA;2024010507;0.0;4
BIA;2024010508;0.0;4
BIA;2024010509;0.0;4
BIA;2024010510;0.5;4
BIA;2024010511;1.1;4
BIA;2024010512;1.8;4
BIA;2024010513;1.6;4
BIA;2024010514;2.5;4
BIA;2024010515;1.7;4
BIA;2024010516;1.9;4
BIA;2024010517;1.5;4
BIA;2024010518;2.7;4
BIA;2024010519;2.8;4
BIA;2024010520;3.4;4
BIA;2024010521;3.8;4
BIA;2024010522;3.7;4
BIA;2024010523;3.3;4
BIA;2024010600;2.1;4
BIA;2024010601;0.6;4
BIA;2024010602;0.2;4
BIA;2024010603;0.1;4
BIA;2024010604;0.0;4
